[ultrawidescaledtail10_e750_s45] ep 004/750 train_loss=1.7087 val_raw=58.52 val_ema=10.08 best_raw=58.52@4 best_ema=10.28@1 lr=0.08000 time=7.2s
[ultrawidescaledtail10_e750_s43] ep 004/750 train_loss=1.7394 val_raw=53.94 val_ema=10.08 best_raw=53.94@4 best_ema=12.54@3 lr=0.08000 time=7.5s
[ultrawidescaledtail10_e750_s44] ep 004/750 train_loss=1.7199 val_raw=57.30 val_ema=9.76 best_raw=57.30@4 best_ema=13.88@1 lr=0.08000 time=7.9s
[ultrawidescaledtail10_e750_s49] ep 005/750 train_loss=1.6235 val_raw=68.96 val_ema=10.10 best_raw=68.96@5 best_ema=10.74@3 lr=0.10000 time=7.4s
[ultrawidescaledtail10_e750_s42] ep 005/750 train_loss=1.6465 val_raw=61.78 val_ema=9.76 best_raw=61.78@5 best_ema=10.62@1 lr=0.10000 time=7.3s
[ultrawidescaledtail10_e750_s48] ep 005/750 train_loss=1.6269 val_raw=60.66 val_ema=9.74 best_raw=60.66@5 best_ema=10.06@2 lr=0.10000 time=7.6s
[ultrawidescaledtail10_e750_s46] ep 005/750 train_loss=1.6461 val_raw=60.60 val_ema=10.08 best_raw=60.60@5 best_ema=10.08@4 lr=0.10000 time=7.5s
[ultrawidescaledtail10_e750_s47] ep 005/750 train_loss=1.6207 val_raw=62.58 val_ema=10.08 best_raw=62.58@5 best_ema=10.08@2 lr=0.10000 time=7.6s
[ultrawidescaledtail10_e750_s45] ep 005/750 train_loss=1.6423 val_raw=64.62 val_ema=10.14 best_raw=64.62@5 best_ema=10.28@1 lr=0.10000 time=7.2s
[ultrawidescaledtail10_e750_s43] ep 005/750 train_loss=1.6186 val_raw=62.66 val_ema=10.08 best_raw=62.66@5 best_ema=12.54@3 lr=0.10000 time=7.4s
[ultrawidescaledtail10_e750_s44] ep 005/750 train_loss=1.6455 val_raw=60.14 val_ema=9.72 best_raw=60.14@5 best_ema=13.88@1 lr=0.10000 time=7.1s
[ultrawidescaledtail10_e750_s49] ep 006/750 train_loss=1.5730 val_raw=71.46 val_ema=10.08 best_raw=71.46@6 best_ema=10.74@3 lr=0.10000 time=7.6s
[ultrawidescaledtail10_e750_s42] ep 006/750 train_loss=1.5409 val_raw=71.70 val_ema=9.76 best_raw=71.70@6 best_ema=10.62@1 lr=0.10000 time=7.1s
[ultrawidescaledtail10_e750_s48] ep 006/750 train_loss=1.6125 val_raw=65.90 val_ema=9.70 best_raw=65.90@6 best_ema=10.06@2 lr=0.10000 time=7.7s
