model_key,seed,epochs,selected_checkpoint,selected_val_acc,selected_epoch,best_val_raw,best_raw_epoch,best_val_ema,best_ema_epoch,test_acc,wall_min,checkpoint_path,json_path
ultrawidescaledtail10,42,750,raw,96.9,734,96.9,734,96.88,747,,93.66531550486883,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s42.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s42.json
ultrawidescaledtail10,43,750,ema,96.72,744,96.7,731,96.72,744,,93.13572400808334,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s43.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s43.json
ultrawidescaledtail10,44,750,raw,96.74,715,96.74,715,96.7,734,,93.54252324104309,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s44.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s44.json
ultrawidescaledtail10,45,750,raw,96.92,742,96.92,742,96.92,742,,92.15158487161001,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s45.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s45.json
ultrawidescaledtail10,46,750,raw,96.74,686,96.74,686,96.68,736,,92.02057747046153,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s46.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s46.json
ultrawidescaledtail10,47,750,ema,96.88,750,96.82,735,96.88,750,,92.90782320896784,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s47.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s47.json
ultrawidescaledtail10,48,750,ema,96.84,745,96.78,725,96.84,745,,91.28610212008158,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s48.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s48.json
ultrawidescaledtail10,49,750,raw,96.98,716,96.98,716,96.9,740,,93.75020738840104,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s49.pt,repro_runs_ultrawidescaledtail10_8seed/ultrawidescaledtail10_e750_s49.json
